Country,Pollutant,VAR,Unit,Total,Average
Australia,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,15017532.28,500584.4093
Austria,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,2458832.815,81961.09383
Belgium,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,4134370.644,137812.3548
Canada,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,21004806.9,700160.2299
Czech Republic,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,4415069.415,147168.9805
Denmark,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,2054344.538,68478.15127
Finland,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,2087266.331,69575.54437
France,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,15720068.27,524002.2756
Germany,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,30210857.14,1007028.571
Greece,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,3422887.406,114096.2469
Hungary,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,2179348.237,72644.94123
Iceland,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,127634.269,4254.475633
Ireland,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,1877544.456,62584.8152
Italy,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,15502043.58,516734.786
Japan,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,40048744.61,1334958.154
Korea,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,16546644.32,551554.8107
Luxembourg,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,339254.679,11308.4893
Mexico,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,19035290.71,634509.6903
Netherlands,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,6326876.315,210895.8772
New Zealand,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,2290598.743,76353.29143
Norway,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,1606176.821,53539.22737
Poland,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,12537202.73,417906.7575
Portugal,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,2136633.732,71221.1244
Slovak Republic,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,1476214.378,49207.14593
Spain,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,10705916.19,356863.8731
Sweden,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,1949029.078,64967.63593
Switzerland,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,1569650.06,52321.66867
Turkey,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,10572093.33,352403.111
United Kingdom,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,19681639.14,656054.6381
United States,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,207612836.5,6920427.884
Chile,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,2437210.93,81240.36433
Estonia,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,633793.494,21126.4498
Slovenia,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,565829.524,18860.98413
Lithuania,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,712100.93,23736.69767
Latvia,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,376362.76,12545.42533
Colombia,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,4125082.774,137502.7591
Costa Rica,Greenhouse gases,TOTAL,Tonnes of CO2 equivalent,346365.38,11545.51267