Year,Carbon dioxide,Methane,Nitrous oxide,Hydrofluorocarbons,Perfluorocarbons,Sulphur hexafluoride
1990,1051979.103,118555.322,57989.377,50.32,3060.232,4427.998
1991,1013824.095,112964.721,56342.412,45.922,2654.624,4745.879
1992,965541.817,109571.464,58034.287,287.564,2407.119,5237.807
1993,955819.934,110368.431,55169.195,2495.767,2256.39,5973.591
1994,939492.314,106615.128,57078.647,2687.863,1918.776,6249.228
1995,938613.565,104349.855,55250.38,2614.283,2085.721,6467.15
1996,958700.377,101811.805,56761.691,3407.62,2041.187,6162.493
1997,930870.087,97432.918,53826.51,4157.373,1653.484,6108.844
1998,922812.222,92585.241,40977.695,4868.842,1781.791,5888.915
1999,895352.121,91717.244,37053.525,5200.825,1484.769,4289.752
2000,899351.824,87798.422,36482.69,6031.991,956.325,4072.498
2001,916144.477,84298.253,38529.724,7456.575,869.601,3751.779
2002,899449.765,80304.866,37767.337,8093.33,945.648,3082.252
2003,900627.666,76953.57,37496.39,8303.515,1015.53,3013.41
2004,886637.162,71989.248,39154.2,8754.562,977.4,3241.043
2005,866302.77,68701.212,37521.882,9009.548,836.769,3252.037
2006,877938.802,64913.748,36769.149,9378.638,668.468,3200.643
2007,851222.968,62899.195,39708.591,9821.374,587.337,3089.621
2008,854508.174,61777.043,38418.21,9768.52,566,2942.667
2009,789899.98,59335.454,38817.174,10031.146,405.898,2942.522
2010,832540.983,58139.516,30841.378,10338.941,345.375,3002.479
2011,808911.525,57051.238,30854.964,10785.23,278.513,3035.331
2012,813693.048,57597.405,31001.076,10966.737,242.195,3082.588
2013,831207.653,56966.249,31171.676,10958.554,256.944,3122.346
2014,792255.427,55847.307,31704.689,11112.824,234.335,3066.148
2015,795556.57,55626.715,31654.874,11367.603,244.183,3246.743
2016,800339.834,54366.222,31521.138,11311.331,252.127,3457.206
2017,785616.471,53797.604,31027.724,11046.594,257.157,3759.573
2018,754408.432,52006.9,29715.792,10050.164,289.594,3870.614
2019,707149.948,49944.05,28948.458,9324.528,231.877,3919.33