race,month,amount
Asian,2015-01,4
Asian,2015-02,1
Asian,2015-03,2
Asian,2015-04,2
Asian,2015-05,1
Asian,2015-06,0
Asian,2015-07,1
Asian,2015-08,0
Asian,2015-09,2
Asian,2015-10,1
Asian,2015-11,1
Asian,2015-12,4
Black,2015-01,26
Black,2015-02,29
Black,2015-03,42
Black,2015-04,41
Black,2015-05,31
Black,2015-06,23
Black,2015-07,31
Black,2015-08,33
Black,2015-09,29
Black,2015-10,35
Black,2015-11,27
Black,2015-12,31
Hispanic,2015-01,21
Hispanic,2015-02,19
Hispanic,2015-03,18
Hispanic,2015-04,22
Hispanic,2015-05,8
Hispanic,2015-06,24
Hispanic,2015-07,25
Hispanic,2015-08,23
Hispanic,2015-09,20
Hispanic,2015-10,23
Hispanic,2015-11,20
Hispanic,2015-12,23
Native,2015-01,3
Native,2015-02,0
Native,2015-03,3
Native,2015-04,3
Native,2015-05,0
Native,2015-06,1
Native,2015-07,2
Native,2015-08,0
Native,2015-09,7
Native,2015-10,0
Native,2015-11,0
Native,2015-12,0
Other/NSp,2015-01,6
Other/NSp,2015-02,9
Other/NSp,2015-03,11
Other/NSp,2015-04,7
Other/NSp,2015-05,19
Other/NSp,2015-06,6
Other/NSp,2015-07,10
Other/NSp,2015-08,15
Other/NSp,2015-09,13
Other/NSp,2015-10,14
Other/NSp,2015-11,1
Other/NSp,2015-12,13
Total,2015-01,118
Total,2015-02,117
Total,2015-03,150
Total,2015-04,139
Total,2015-05,126
Total,2015-06,103
Total,2015-07,152
Total,2015-08,136
Total,2015-09,130
Total,2015-10,127
Total,2015-11,111
Total,2015-12,128
White,2015-01,58
White,2015-02,59
White,2015-03,74
White,2015-04,64
White,2015-05,67
White,2015-06,49
White,2015-07,83
White,2015-08,65
White,2015-09,59
White,2015-10,54
White,2015-11,62
White,2015-12,57